-29075	1.7	0.51	12.2
-90416	1.7	0.49	7.8
-153958	1.7	0.45	4.6
2001 JV1	1.7	0.44	6.6
2006 GC1	1.71	0.82	6
-385605	1.71	0.57	8.9
-447755	1.71	0.53	4.2
2014 HK129	1.71	0.49	6.7
2006 HC2	1.71	0.49	3.7
2009 EO2	1.71	0.48	11.5
-153814	1.71	0.47	1.9
2016 BR80	1.71	0.45	12.1
-68548	1.71	0.44	22.7
2009 AE16	1.72	0.73	45.6
2013 JN7	1.72	0.64	2.3
2007 DY40	1.72	0.59	5.9
-154302	1.72	0.56	28.8
2010 JV34	1.72	0.54	7.2
2011 SO32	1.72	0.48	9.9
-451003	1.72	0.46	6.5
2015 KB19	1.72	0.43	7
-448003	1.72	0.41	14.8
2011 CT4	1.73	0.72	2.7
2007 RF2	1.73	0.66	6.1
2008 WQ63	1.73	0.61	0.9
2007 VK184	1.73	0.57	1.2
2009 EV	1.73	0.52	17
2013 VY13	1.73	0.52	5.5
2009 JR	1.73	0.49	8.4
-417211	1.73	0.49	10.9
2002 EY2	1.73	0.49	21.7
2008 EL6	1.73	0.48	13.1
2015 GS	1.73	0.48	11.9
-378358	1.73	0.44	16.5
2012 QE50	1.73	0.44	11.9
-89959	1.74	0.53	42.3
2010 XC25	1.74	0.53	3
2011 WO4	1.74	0.5	60.9
1997 WQ23	1.74	0.5	2.4
2013 XW3	1.74	0.48	4.6
-27002	1.74	0.43	8.7
2010 VT11	1.75	0.61	2.5
2005 CJ	1.75	0.53	1.1
-136795	1.75	0.48	11
-8014	1.75	0.46	1.9
-415745	1.75	0.46	10.6
2015 BK515	1.75	0.45	5.3
-111253	1.75	0.44	42
2006 WJ3	1.75	0.42	15.4
-86039	1.76	0.58	7.1
2010 MU112	1.76	0.54	48
-452376	1.76	0.49	16.5
-244977	1.76	0.44	15.7
-443880	1.76	0.43	12.7
2015 UR51	1.76	0.42	19.3
-162825	1.77	0.74	9.1
2001 TA2	1.77	0.65	3.3
2000 CP101	1.77	0.62	10.5
-137126	1.77	0.6	5.5
2012 PS4	1.77	0.59	3.9
2005 GJ8	1.77	0.55	3.4
-7335	1.77	0.48	15.2
(3122) Florence	1.77	0.42	22.2
2007 KG7	1.78	0.87	4.7
2015 DC200	1.78	0.87	3.1
2010 LK34	1.78	0.8	5.3
(1981) Midas	1.78	0.65	39.8
2002 CD14	1.78	0.58	2.9
-140288	1.78	0.51	53.2
2015 FV284	1.78	0.49	8.8
2016 AL8	1.78	0.43	7.9
1998 QP	1.79	0.58	9.4
2013 GR38	1.79	0.56	4.6
2009 UQ	1.79	0.53	14.5
2006 KN89	1.79	0.53	5.8
2015 KH157	1.79	0.53	21.6
2007 FE	1.79	0.46	7
-163014	1.79	0.45	9.9
-206378	1.79	0.44	6.7
-363084	1.79	0.43	9.3
2014 AF51	1.79	0.43	2.8
-162039	1.8	0.66	5.3
2011 GA	1.8	0.59	9.8
2014 DM22	1.8	0.56	42.1
2012 CA55	1.8	0.48	8.6
2007 GQ3	1.8	0.45	10.2
2011 PS	1.81	0.51	3.7
2011 KQ12	1.81	0.5	19.3
2004 HC39	1.81	0.5	14.7
2015 FS332	1.81	0.48	35.1
-366774	1.81	0.45	13.2
1999 XL136	1.82	0.65	8.9
2002 VR85	1.82	0.6	6
2015 GZ13	1.82	0.6	33.5
2003 AY2	1.82	0.56	10.3
-140039	1.82	0.57	4.9
2012 TV78	1.82	0.55	7.5
2005 UT64	1.82	0.52	10.5
2010 YB	1.82	0.49	3.6
2012 MJ6	1.82	0.49	9.2
-242643	1.83	0.86	8.5
2004 LY5	1.83	0.78	16
2015 NU13	1.83	0.59	4.2
2012 YO1	1.83	0.49	17.5
2011 BO59	1.83	0.46	4.8
2002 BM26	1.83	0.44	16.2
(3757) Anagolay	1.83	0.45	3.9
2014 MJ6	1.84	0.64	4.5
-103067	1.84	0.58	38.5
2007 LE	1.84	0.52	29.5
2014 WV363	1.84	0.52	5.5
-358744	1.84	0.51	3.9
-7341	1.84	0.51	5.4
